,Abies,Acer,Alnus,Betula,Carya,Corylus,Cupressaceae,Fagus,Fraxinus,Larix,Ostrya.Carpinus,Picea,Pinus,Quercus,Tilia,Tsuga,Ulmus,Amarantaceae,Ambrosia,Artemisia,Asteraceae,Poaceae
RANUNCUL,,,,,,,,,,,,,,,,,,,,,,
RHAMNACEAE,,,,,,,,,,,,,,,,,,,,,,
ROSACEAX,,,,,,,,,,,,,,,,,,,,,,
RUBIACEAE,,,,,,,,,,,,,,,,,,,,,,
RUBUS,,,,,,,,,,,,,,,,,,,,,,
RUMEX,,,,,,,,,,,,,,,,,,,,,,
RUMEOXYR,,,,,,,,,,,,,,,,,,,,,,
SALIX,,,,,,,,,,,,,,,,,,,,,,
SANGUI,,,,,,,,,,,,,,,,,,,,,,
SARCOBATUS,,,,,,,,,,,,,,,,,,,,,,
SXFRACER,,,,,,,,,,,,,,,,,,,,,,
SXFRAHIE,,,,,,,,,,,,,,,,,,,,,,
SXFRAOPP,,,,,,,,,,,,,,,,,,,,,,
SXFRATRI,,,,,,,,,,,,,,,,,,,,,,
SXFRAGAX,,,,,,,,,,,,,,,,,,,,,,
SCROPHUL,,,,,,,,,,,,,,,,,,,,,,
SELAGINE,,,,,,,,,,,,,,,,,,,,,,
SHEPHERDIA,,,,,,,,,,,,,,,,,,,,,,
SPHAGNUM,,,,,,,,,,,,,,,,,,,,,,
TAXODIUM,,,,,,,,,,,,,,,,,,,,,,
TAXUS,,,,,,,,,,,,,,,,,,,,,,
THALICTRUM,,,,,,,,,,,,,,,,,,,,,,
TILIA,,,,,,,,,,,,,,,1,,,,,,,
TSUGHETE,,,,,,,,,,,,,,,,1,,,,,,
TSUGMERT,,,,,,,,,,,,,,,,1,,,,,,
TSUGAX,,,,,,,,,,,,,,,,1,,,,,,
ULMUS,,,,,,,,,,,,,,,,,1,,,,,
URTICACX,,,,,,,,,,,,,,,,,,,,,,
XANTHIUM,,,,,,,,,,,,,,,,,,,,,,
