Sample,YrBP,Abies,Acer,Alnus,Betula,Carya,Corylus,Cupressaceae,Fagus,Fraxinus,Larix,Ostrya.Carpinus,Picea,Pinus,Quercus,Tilia,Tsuga,Ulmus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Poaceae
4,1528,29,10,20,356,0,0,0,1,1,0,0,26,118,12,0,5,2,0,9,4,1,1
5,1649.5,45,6,15,337,0,0,0,0,2,0,0,55,186,14,0,8,3,0,2,7,0,0
6,1731.7,31,4,16,307,0,0,0,0,2,0,0,33,87,9,1,3,1,1,14,2,0,1
7,1810.9,41,5,12,462,0,0,0,0,0,2,0,60,139,18,0,6,6,4,2,2,0,0
8,1889.8,43,13,14,497,3,9,0,2,6,1,0,57,162,25,0,8,4,5,27,9,0,1
9,1970.9,28,7,8,426,1,0,5,0,3,2,23,42,142,16,0,4,6,2,19,4,0,2
10,2051.5,35,13,34,720,0,7,0,0,7,4,0,72,360,33,0,15,5,3,4,8,5,2
11,2131.7,47,8,27,713,0,0,1,2,9,5,0,75,345,37,0,11,8,3,8,0,0,0
12,2213.2,54,8,0,621,1,5,6,2,7,3,5,66,309,38,0,7,10,2,6,14,0,0
13,2294.6,56,2,4,452,0,0,0,1,0,0,0,46,308,26,0,6,8,5,4,12,1,1
14,2375.5,76,12,2,460,0,0,0,0,7,0,1,51,342,30,0,7,6,0,6,11,0,0
15,2454.4,50,0,1,509,0,4,0,0,2,0,0,61,327,25,2,9,7,3,3,8,6,0
16,2549.5,55,7,3,415,0,3,0,0,5,4,0,46,357,32,0,2,3,4,2,3,1,0
17,2668.3,50,19,18,526,0,3,0,2,6,0,0,51,350,25,1,9,9,3,7,7,0,4
18,2727.9,34,7,10,317,0,0,3,0,2,4,0,31,305,20,0,10,3,1,2,7,1,1
19,2846.3,46,4,10,330,0,0,8,0,3,2,11,27,249,22,0,9,6,4,4,6,0,1
20,2965,14,14,21,537,1,12,1,0,7,0,2,42,319,27,1,4,9,0,4,11,1,1
21,3087.1,26,11,19,340,0,5,0,0,4,5,1,23,275,18,0,12,2,2,11,3,1,0
22,3208.1,34,5,20,311,0,8,0,2,3,0,0,45,319,11,0,8,5,0,5,17,1,0
23,3330.1,38,4,3,479,1,7,11,1,5,4,1,21,320,15,1,3,4,3,4,4,0,0
24,3452,35,11,13,451,0,8,3,0,5,0,3,42,402,33,0,5,9,2,8,5,0,3
25,3571.4,2,0,5,171,0,0,0,0,0,0,0,1,130,8,0,0,1,0,0,2,1,0
26,3692.2,25,4,16,313,0,4,0,0,1,0,0,29,310,19,0,0,4,0,4,6,2,0
27,3816.1,45,5,14,328,0,2,0,0,2,0,0,17,337,12,0,1,3,0,4,4,2,0
28,3878.1,46,6,15,370,0,0,0,0,3,2,0,18,434,8,0,4,3,1,5,6,1,0
29,3997.7,43,12,11,308,0,0,0,0,1,0,0,20,350,17,1,0,6,1,11,8,2,0
30,4118.4,72,4,10,315,0,3,0,0,6,0,7,33,369,28,0,0,3,5,9,9,0,3
31,4240.9,34,6,3,256,0,0,0,0,2,0,0,24,381,22,0,0,2,4,0,4,0,1
32,4364.6,55,8,7,232,0,0,0,0,1,4,0,18,397,23,0,0,5,2,7,5,2,1
33,4491.3,47,2,5,245,0,3,4,1,5,0,2,24,253,15,0,0,3,1,6,5,0,2
34,4621.9,39,6,4,194,0,0,0,1,0,0,0,20,263,7,0,0,6,0,7,6,0,0
35,4750.8,63,10,6,337,0,1,0,0,3,0,3,32,523,28,0,0,10,1,8,9,0,0
36,4881.3,63,4,10,303,2,2,0,0,2,1,6,32,501,16,1,6,0,1,1,2,0,2
37,5009.3,23,2,12,365,2,1,3,0,3,0,0,19,348,13,0,1,3,0,3,5,0,1
38,5139,9,4,22,343,0,0,0,0,1,0,10,19,434,24,1,0,0,0,5,6,0,3
39,5267.8,44,0,5,345,0,0,0,0,5,2,0,19,329,16,0,0,1,2,3,6,1,0
40,5395.9,46,0,4,399,0,0,0,0,2,0,0,24,553,11,0,0,2,1,6,11,3,1
41,5525.1,30,6,1,337,0,2,0,0,1,1,0,28,662,14,1,1,6,2,4,9,0,0
42,5654.8,26,1,16,319,1,7,1,0,1,1,3,13,676,17,0,6,3,3,6,7,0,4
43,5784,16,6,17,222,0,7,0,0,3,2,3,7,643,15,0,7,5,4,2,6,1,3
44,5914.3,11,0,1,191,0,0,0,0,2,0,0,14,513,14,0,0,5,2,2,2,0,0
45,6043.7,8,2,6,116,0,2,0,0,0,0,0,17,425,13,0,0,3,0,3,0,0,3
46,6171.6,22,2,4,275,0,2,0,0,4,1,0,13,405,19,0,1,2,7,12,8,1,0
47,6301.3,34,2,4,161,0,1,0,0,0,0,5,67,582,11,0,0,4,1,3,1,0,1
48,6431.8,27,0,2,102,0,2,1,0,1,1,4,30,436,8,0,0,4,0,3,4,0,1
49,6576.5,5,0,8,174,0,0,1,0,0,0,0,10,575,6,0,0,9,0,2,3,0,2
50,6724.5,23,2,15,263,0,0,0,0,5,0,0,12,620,22,0,0,9,3,4,8,0,1
51,6866.8,8,2,0,124,0,0,0,0,1,0,0,2,468,11,1,0,2,2,7,1,0,0
52,7014.8,15,2,13,260,0,0,0,0,7,0,0,62,712,39,0,0,11,7,14,12,0,3
53,7160.8,24,2,8,195,0,18,0,0,10,0,0,41,406,9,0,0,11,3,3,3,0,0
54,7306,6,0,2,141,0,4,3,0,1,0,0,2,621,12,0,0,13,3,4,12,0,0
55,7451.6,30,9,22,305,0,5,0,0,1,3,0,19,874,22,0,0,6,5,18,22,1,2
56,7597.5,16,0,2,160,0,0,0,0,2,0,0,9,367,10,0,1,3,2,7,4,1,1
57,7744,33,3,28,263,0,12,0,0,1,0,3,28,486,13,0,0,3,5,7,14,0,3
58,7891.2,13,1,23,188,0,7,0,0,0,0,0,11,147,13,0,0,3,1,10,8,0,0
59,8038,25,2,6,199,0,8,0,0,3,0,0,5,199,11,0,1,5,8,2,1,2,0
60,8186.1,44,4,14,263,0,6,0,0,4,0,0,26,339,8,0,1,4,1,14,10,0,0
61,8309.1,53,1,18,318,3,2,0,0,5,0,0,21,271,5,0,0,10,9,20,9,1,0
62,8429,71,1,18,413,0,7,0,1,9,0,0,59,443,7,0,0,16,6,17,14,0,4
63,8549.1,71,1,26,321,1,12,2,0,1,3,0,36,251,14,1,0,4,1,10,16,3,4
64,8670,30,4,52,318,1,0,0,1,4,0,5,55,263,12,0,0,5,4,9,12,6,1
65,8907.6,37,1,25,329,0,14,0,1,1,0,0,70,238,7,0,0,9,4,11,18,0,0
66,9026.3,61,4,23,398,0,0,0,4,0,0,0,78,271,10,0,0,20,12,27,22,0,0
67,9146.9,89,4,12,301,0,10,0,2,2,4,0,117,289,7,0,0,13,16,19,11,0,0
68,9268.5,53,1,12,315,0,9,0,0,3,0,0,108,261,11,0,0,12,7,17,18,1,1
69,9388.2,30,1,11,299,0,1,0,0,14,0,0,110,369,32,0,0,13,7,33,34,0,3
70,9506.8,51,5,3,150,3,4,0,0,4,0,3,128,345,35,0,0,12,13,27,39,2,2
71,9626.3,22,1,6,35,0,2,0,0,6,0,0,128,211,19,1,0,23,6,20,19,1,1
72,9745,22,5,6,49,1,12,0,2,17,0,2,149,319,49,1,0,12,8,20,32,3,1
73,9831.7,1,4,4,31,5,7,0,0,14,0,2,76,162,29,0,0,11,14,19,37,1,1
1,10.4,3,5,16,77,0,2,0,1,1,0,5,12,305.5,9,0,9,7,2,33,1,1,11
2,170.2,3.5,1,8,68,2,2,0,7,0,0,6,14.5,298.5,12,1,7,6,2,36,4,5,11
3,379.8,6.5,4,9,66,0,0,0,3,0,2,7,13,289,15,1,14,3,0,30,4,2,13
4,592.3,5,2,6,86,1,1,0,10,2,0,5,11.5,324,24,0,16,4,1,10,5,3,5
5,798.7,3,4,13,85,0,1,0,9,4,0,8,17,416.5,23,0,13,7,1,5,2,0,6
6,968.6,4,5,10,66,3,1,0,10,2,2,3,8,428.5,26,1,14,6,0,4,3,0,7
7,1053.3,2,8,10,103,1,4,0,11,4,0,7,21,507,28,1,21,7,1,4,5,2,16
8,1181.1,3.5,5,10,100,1,0,0,13,5,1,8,23.5,425,10,0,16,4,0,4,1,0,7
9,1603,1.5,6,9,75,1,0,0,7,1,0,3,8,387,10,0,17,4,0,4,1,0,7
10,1815.6,5,8,6,77,0,1,0,4,3,2,7,10.5,432.5,20,1,12,3,0,4,3,1,8
11,2026.7,4,3,7,67,0,1,0,7,1,0,13,15,464,12,0,17,5,0,2,2,2,10
12,2447.6,4,0,14,68,3,3,0,7,2,4,3,20.5,391.5,12,0,15,3,0,7,4,1,2
13,2652.6,2.5,4,10,64,1,2,0,8,2,3,4,11.5,364,17,1,11,5,1,6,5,0,5
14,2804.4,1,5,11,105,1,0,0,4,1,1,4,20,525,32,0,12,6,1,8,5,0,8
15,2931.7,4.5,4,15,75,0,1,0,3,6,0,7,5.5,434.5,29,0,5,4,2,8,1,1,11
16,3056.2,6.5,5,9,83,0,1,0,5,2,1,8,8,328,19,1,4,3,1,8,2,0,1
17,3304.6,2,9,13,122,0,3,0,5,3,0,4,19,567,37,0,11,4,1,7,2,3,11
18,3553.2,1.5,3,16,87,2,0,0,3,2,0,8,16,436.5,32,0,4,3,0,3,3,1,5
19,3830.7,2,5,11,74,4,2,0,2,4,1,5,13,443,29,0,8,5,0,2,3,2,10
20,4080.9,3.5,3,7,55,2,0,0,5,3,1,6,11,432,20,1,12,11,1,4,2,0,3
21,4307.1,2,9,8,59,0,0,0,3,1,0,4,11,451,23,2,2,5,0,4,2,1,2
22,4559.9,1.5,4,13,46,0,1,0,4,3,0,6,11.5,391.5,27,1,4,6,0,5,2,0,7
