Sample,YrBP,Abies,Acer,Alnus,Betula,Carya,Corylus,Cupressaceae,Fagus,Fraxinus,Larix,Ostrya.Carpinus,Picea,Pinus,Quercus,Tilia,Tsuga,Ulmus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Poaceae
site_10168_15316_34,3300,0.005398622,0.014668009,0.016485726,0.276011688,0.000412666,0.003134274,0,0.015336916,0.006921339,0.00239813,0.010864134,0.020239172,0.520696804,0.04398687,0.000412666,0.026786951,0.015884056,0.001489098,0.006670238,0.009971912,0,0.00223073
site_10168_15316_35,3400,0.005518395,0.013302823,0.01770967,0.265716629,0.000512604,0.003284577,0,0.013982701,0.006138808,0.001330359,0.013323663,0.020416788,0.532486209,0.045196236,0.000512604,0.02472916,0.016203887,0.000613316,0.007063302,0.009451517,0,0.002506754
site_10168_15316_36,3500,0.00582134,0.011943161,0.01973216,0.260822468,0.000681312,0.0037109,0,0.013328759,0.005290269,0.000708577,0.015441403,0.021560853,0.535922156,0.046111052,0.000681312,0.023142104,0.015430345,2.04E-05,0.007313756,0.009071272,0,0.003266353
site_10168_15316_37,3600,0.006098325,0.011345156,0.021240202,0.261256528,0.000781637,0.004126512,0,0.013286499,0.00488205,0.000790528,0.015990599,0.022793093,0.533447352,0.04609787,0.000781637,0.022555989,0.014304773,3.56E-06,0.007223404,0.008952357,1.78E-06,0.004040154
site_10168_15316_38,3700,0.005762199,0.012272083,0.021638535,0.242270248,0.000839746,0.004148689,0,0.01147195,0.004321934,0.001820296,0.01527857,0.023277704,0.550539744,0.048370546,0.000839746,0.021739548,0.01444028,0.000389391,0.006455316,0.009359917,0.00019558,0.004567979
site_10168_15316_39,3800,0.005061647,0.013339203,0.021529684,0.210399548,0.000803674,0.004005715,0,0.0093091,0.003885041,0.004208825,0.013501455,0.023411551,0.576826091,0.051215978,0.000803674,0.02372964,0.015105188,0.000710968,0.006398961,0.009939367,0.00055895,0.005255738
site_10168_15316_40,3900,0.004175803,0.014919421,0.021271071,0.179790671,0.000887522,0.003744069,0,0.008107215,0.003319843,0.007153275,0.011625652,0.023667286,0.596516125,0.0555984,0.000887522,0.027267469,0.015601932,0.001128744,0.006575613,0.011019423,0.000994858,0.005748086
site_10168_15316_41,4000,0.003194259,0.016710809,0.020245497,0.151584601,0.000928793,0.003274298,0,0.007185669,0.002994746,0.009905346,0.009625474,0.023282939,0.614865845,0.059833381,0.000928793,0.031128268,0.016613227,0.00151305,0.00686504,0.012134317,0.001405766,0.005779881
site_10168_15316_42,4100,0.002216556,0.018487805,0.019167011,0.12377298,0.000962781,0.00279372,0,0.006280448,0.002697686,0.012613448,0.00762989,0.022844919,0.63307748,0.063980162,0.000962781,0.034977155,0.017662245,0.001886675,0.007166345,0.013230838,0.001810085,0.005778987
site_10168_15316_43,4200,0.001756979,0.018383964,0.018543065,0.109195504,0.000838714,0.002593474,0,0.006491742,0.002957228,0.014652033,0.006214199,0.022443554,0.640589377,0.064494095,0.000838714,0.040032834,0.018170431,0.001677429,0.008605816,0.013458444,0.002041183,0.006021222
site_10168_15316_44,4300,0.001272432,0.019117787,0.018092879,0.098300261,0.000892443,0.002365572,0,0.006845705,0.002838682,0.016279083,0.005258052,0.022372316,0.643691369,0.066690131,0.000892443,0.043296348,0.018422554,0.001784886,0.009193337,0.014110744,0.002257996,0.006024979
site_10168_15316_45,4400,0.001159158,0.019017419,0.01793072,0.094616202,0.000851254,0.002318316,0,0.006954948,0.002934124,0.01684402,0.004872077,0.022259447,0.645406433,0.066705883,0.000851254,0.04480873,0.018546528,0.001702508,0.009653627,0.014145341,0.002318316,0.006103694
site_10168_15316_46,4500,0.001169609,0.018279711,0.017789326,0.091832587,0.000707401,0.002339218,0,0.007017653,0.003263634,0.01729894,0.00446142,0.022005553,0.647967507,0.065337436,0.000707401,0.046727998,0.018713742,0.001414802,0.010498302,0.013818291,0.002339218,0.006310252
site_10168_15316_47,4600,0.001221001,0.014652015,0.017094017,0.078144078,0,0.002442002,0,0.007326007,0.004884005,0.01953602,0.002442002,0.020757021,0.660561661,0.058608059,0,0.056166056,0.01953602,0,0.014652015,0.012210012,0.002442002,0.007326007
site_10316_15660_1,0,0.014394151,0.035850826,0,0.35113304,0.001510333,0.001934404,0,0.022679045,0,0.000272808,0.010815096,0.035066148,0.319991094,0.055544685,0.000473694,0.077416327,0.013476545,0,0.037466384,0.00854697,0.005128634,0.008299814
site_10316_15660_2,100,0.014042123,0.035484954,0,0.353833635,0.00162838,0.00232739,0,0.021721322,0,0.000321549,0.011242917,0.034619435,0.324050144,0.053731164,0.000413807,0.080626943,0.013281668,0,0.032403901,0.008053607,0.004745011,0.007472048
site_10316_15660_3,200,0.01314664,0.035005832,0,0.357438863,0.001523898,0.00274337,0,0.020652719,0,0.000402026,0.011079337,0.034169789,0.328572994,0.052794519,0.000409572,0.083571541,0.013210857,0,0.026803833,0.007681156,0.004194702,0.006598352
site_10316_15660_4,300,0.012201177,0.034164258,0,0.362711718,0.001521948,0.003084438,0,0.019314213,0,0.00036592,0.010953959,0.034466293,0.331856926,0.051144113,0.000453419,0.084853362,0.013372779,0,0.022030559,0.007609319,0.003877007,0.006018592
site_10316_15660_5,400,0.011874404,0.03380429,0,0.36491639,0.001666154,0.003356464,0,0.017434407,0,0.000340999,0.010690885,0.034471329,0.338278864,0.05008777,0.000556671,0.085993811,0.012899817,0,0.017195519,0.007394816,0.003528367,0.005509043
site_10316_15660_6,500,0.011637679,0.033530608,0,0.367418464,0.00196496,0.003668346,0,0.014719392,0,0.000300307,0.010548321,0.033197733,0.350232647,0.048500841,0.000700042,0.086340489,0.012443343,0,0.009999697,0.007187424,0.002894288,0.004715421
site_10316_15660_7,600,0.010847269,0.032915754,0,0.371827535,0.002110966,0.003374151,0,0.011738239,0,0.000199641,0.010312562,0.03149407,0.360810053,0.049483752,0.00071976,0.081691399,0.012238462,0,0.005470226,0.00784092,0.002487579,0.004437661
site_10316_15660_8,700,0.011033519,0.033691157,0,0.376108177,0.002409032,0.002837156,0,0.008816392,0,1.03E-05,0.01058562,0.030285581,0.366243032,0.049147387,0.000677917,0.075169705,0.012586268,0,0.004655379,0.008380745,0.002882899,0.004479694
site_10316_15660_9,800,0.011649736,0.03567978,0,0.377055052,0.002496885,0.002246159,0,0.006905893,0,0,0.01096402,0.028058482,0.369768659,0.050093445,0.000497046,0.070365573,0.012903965,0,0.005280094,0.008459886,0.003280255,0.004295071
site_10316_15660_10,900,0.010459036,0.038527675,0,0.384807631,0.002118904,0.001761481,0,0.006474508,0,0,0.010691042,0.026020255,0.36507698,0.050305873,0.000204644,0.068950831,0.013458467,0,0.005357336,0.008230494,0.003443076,0.004111766
site_10316_15660_11,1000,0.008079621,0.041239316,0,0.398476098,0.001460568,0.001149285,0,0.006164293,0,0,0.009681103,0.025618214,0.354056166,0.050872636,0,0.068921059,0.0133178,0,0.005169075,0.007933287,0.003708507,0.004152971
site_10316_15660_12,1100,0.006723835,0.045045982,0,0.405463304,0.000993344,0.000965938,0,0.006205414,0,0,0.008030857,0.025196023,0.346665638,0.050445344,0,0.072024826,0.012593247,0,0.00466427,0.007045258,0.003670926,0.004265795
site_10316_15660_13,1200,0.005431757,0.047857742,0,0.40867235,0.00070817,0.00070817,0,0.00686249,0,0,0.006493165,0.023597539,0.343875955,0.051559491,0,0.07541678,0.010882382,0,0.003789487,0.006384724,0.003047729,0.004712069
site_10316_15660_14,1300,0.003815047,0.047667765,0,0.42136572,0.000347962,0.000347962,0,0.00757775,0,0,0.006101082,0.020149299,0.337602203,0.051682083,0,0.077344028,0.009459963,0,0.003075708,0.006036294,0.002347893,0.005079242
site_10316_15660_15,1400,0.002384398,0.044330085,0,0.440569767,0,0,0,0.007856172,0,0,0.007087924,0.016693333,0.328616913,0.050480664,0,0.076455336,0.009175227,0,0.00293762,0.006237607,0.002043789,0.005131164
site_10316_15660_16,1500,0.002691929,0.038309621,0,0.454202625,9.01E-05,9.01E-05,0,0.008401668,0,0.00045047,0.009459418,0.012587763,0.325898045,0.048236414,0,0.072729064,0.009964471,0,0.003384087,0.006760572,0.001817881,0.004925786
site_10316_15660_17,1600,0.003746723,0.031644379,0,0.464580821,0.000493996,0.000493996,0,0.009908313,0,0.002469981,0.011201095,0.009359203,0.326279039,0.046633533,0,0.063981009,0.01087101,0,0.004063029,0.007795974,0.001784516,0.00469338
site_10316_15660_18,1700,0.004604022,0.026812786,0,0.471382498,0.00081677,0.00081677,0,0.010935751,0,0.004083851,0.012372637,0.007762836,0.32662128,0.045556553,0,0.056766479,0.011718897,0,0.004668726,0.008683712,0.001925978,0.004470454
site_10316_15660_19,1800,0.005858463,0.02391956,0,0.468432837,0.001447954,0.001447954,0,0.012766256,0,0.006579366,0.011876449,0.00644867,0.334512697,0.046256025,0.000165101,0.04765469,0.01171721,0,0.00508922,0.009358798,0.001820633,0.004648119
site_10316_15660_20,1900,0.006671388,0.024185282,0,0.457389248,0.002030998,0.002030998,0,0.013802276,0,0.00805966,0.010215854,0.006266449,0.346400253,0.048213181,0.000523832,0.041592889,0.011144625,0,0.005283115,0.009399673,0.001626059,0.005164222
site_10316_15660_21,2000,0.007182485,0.024433886,0,0.448868661,0.002449375,0.002449375,0,0.014292786,0,0.008884795,0.009020215,0.00624851,0.355589221,0.04966575,0.00084052,0.037337742,0.01079471,0,0.005480175,0.009372765,0.0015154,0.00557363
site_10316_15660_22,2100,0.007455635,0.023858818,0,0.443834569,0.002570272,0.002570272,0,0.013318635,0,0.007881614,0.01004312,0.006026057,0.361972332,0.050028664,0.001460236,0.034125303,0.011843936,0,0.006811857,0.008930186,0.001576293,0.0056922
site_10316_15660_23,2200,0.007758376,0.023702156,0,0.439090042,0.002558573,0.002558573,0,0.012186827,0,0.006429162,0.011794237,0.005675007,0.366950599,0.050207311,0.002148786,0.031674023,0.013237088,0,0.008529729,0.008233579,0.001590925,0.005675007
site_10316_15660_24,2300,0.007716789,0.023744182,0,0.440527711,0.002236239,0.002236239,0,0.011025091,0,0.004665546,0.014154935,0.005351473,0.364559861,0.049429483,0.002507907,0.032754225,0.014633184,0,0.009889038,0.007587712,0.001628912,0.005351473
site_10316_15660_25,2400,0.007871607,0.025446748,0,0.441085272,0.001737554,0.001737554,0,0.010449985,0,0.002951603,0.016954311,0.004839437,0.359573783,0.048803111,0.002798371,0.035509702,0.015963207,0,0.011427282,0.006576992,0.001434042,0.004839437
