"Sample","YrBP","Abies","Cupressaceae","Larix","Picea","Pinus","Tsuga","Acer","Alnus","Betula","Carya","Corylus","Fagus","Fraxinus","Ostrya.Carpinus","Quercus","Tilia","Ulmus","Ambrosia","Artemisia","Asteraceae","Amarantaceae","Poaceae"
"Capi34",7626,8.5,0,2,0,421,0,5,0,22,3,1,1,12,12,39,2,29,8,7,0,7,11
"Capi35",7937,0.5,0,1,1.5,226,0,2,0,36,0,1,0,3,12,27,2,0,13,7,1,2,14
"Capi36",8339,0.5,0,0,0,261,0,1,0,23,0,1,0,2,10,21,0,23,11,5,1,3,2
"Capi37",8743,1.5,0,0,0,325.5,0,0,0,21,0,0,0,7,5,19,0,15,6,6,0,5,3
"Capi38",9148,4.5,0,1,10.5,357.5,0,1,0,24,1,0,0,8,15,25,2,42,0,7,2,1,2
"Capi39",9557,0,0,0,26,146.5,0,1,0,73,1,1,0,2,8,12,0,22,10,6,1,3,9
"Lorr1",-30,3,20,0,8,122,31,9,0,136,1,0,10,1,5,22,0,3,23,3,3,5,5
"Lorr2",29,2,18,3,7,140,49,13,7,92,0,0,9,2,4,14,0,4,25,2,1,4,4
"Lorr3",90,7,20,2,12,128,45,15,10,88,0,0,14,1,2,19,0,0,23,1,3,6,3
"Lorr4",150,4,20,2,12,131,48,6,9,90,1,0,16,0,4,13,0,2,35,3,1,1,5
"Lorr5",162,5,7,6,8,185,60,12,7,106,0,1,11,3,2,19,0,6,23,5,0,0,8
"Lorr6",181,11,13,2,12,209,66,9,8,106,0,0,11,2,2,13,1,6,15,1,2,1,3
"Lorr7",193,3,17,6,14,208,83,8,10,113,2,0,16,0,0,19,0,8,12,1,0,1,1
"Lorr8",210,4,18,5,12,193,97,10,3,98,0,2,9,0,3,16,0,3,14,3,1,2,3
"Lorr9",223,4,13,3,19,168,73,9,8,137,1,0,19,2,3,26,0,5,13,2,1,2,2
"Lorr10",241,2,13,7,18,201,89,8,11,148,0,0,20,4,3,25,0,4,13,5,1,1,0
"Lorr11",294,0,21,0,16,267,86,13,5,119,0,1,20,1,6,15,0,7,9,3,0,0,4
"Lorr12",349,4,25,2,12,198,76,10,9,99,0,0,15,1,4,7,1,3,1,0,0,1,0
"Lorr13",496,13,12,3,6,195,102,7,6,72,1,0,21,3,4,23,0,2,5,6,0,0,2
"Lorr14",641,2,17,1,12,195,88,6,10,65,0,0,22,1,6,13,0,2,5,5,2,1,2
"Lorr15",825,1,11,2,7,166,99,6,7,67,0,1,13,5,2,6,0,6,3,0,1,0,2
"Lorr16",970,2,25,3,15,191,162,22,5,110,0,0,22,4,2,22,0,4,7,3,4,0,0
"Lorr17",1114,1,27,3,3,157,85,11,9,66,0,0,7,4,2,16,0,5,1,3,1,1,2
"Lorr18",1261,3,15,5,12,148,109,7,6,66,0,1,14,3,3,14,0,3,0,0,2,0,1
"Lorr19",1409,2,18,1,10,145,81,11,6,70,1,0,14,2,0,16,0,2,4,2,0,1,2
"Lorr20",1558,3,5,5,4,190,68,8,6,61,0,0,12,2,3,11,0,5,2,2,0,0,0
"Lorr21",1705,4,19,2,6,186,69,8,7,59,0,0,18,0,3,16,0,3,0,3,1,0,2
"Lorr22",1852,3,17,2,8,146,91,9,14,62,1,2,23,2,3,15,0,2,3,1,0,0,2
"Lorr23",1997,3,16,5,7,197,66,5,8,57,0,0,23,5,2,14,1,4,1,2,2,1,1
"Lorr24",2141,1,26,4,7,217,94,7,9,92,2,0,14,1,4,13,1,3,0,1,1,1,0
"Lorr25",2286,1,18,7,7,221,87,8,7,88,1,0,12,8,2,23,0,6,1,5,1,1,1
"Lorr26",2435,1,14,4,3,235,23,4,12,57,1,1,8,2,4,11,0,5,0,4,0,0,3
"Lorr27",2581,3,15,0,3,198,44,1,6,54,0,0,14,6,4,17,0,7,1,4,0,1,1
"Lorr28",2729,0,8,1,6,217,52,13,9,87,1,0,9,2,1,20,0,2,2,1,0,0,1
"Lorr29",2877,1,2,1,5,262,14,2,3,42,0,0,6,0,4,10,1,3,0,1,0,0,1
"Lorr30",3025,0,11,3,10,283,38,6,8,64,0,0,10,7,1,12,1,1,3,3,1,3,1
"Lorr31",3061,2,9,3,4,362,26,5,14,86,1,0,10,5,2,12,0,5,3,3,0,1,3
"Lorr32",3099,1,11,4,3,299,33,11,6,52,0,0,13,0,2,16,0,2,0,3,3,2,3
"Lorr33",3135,2,12,1,4,319,27,3,9,81,1,0,2,3,2,21,0,3,3,2,1,2,0
"Lorr34",3171,0,8,0,6,301,13,4,5,38,0,0,0,1,3,15,0,4,1,2,1,0,1
"Lorr35",3208,2,10,0,5,345,26,6,7,63,0,0,5,0,1,13,0,6,0,2,0,1,4
"Lorr36",3244,3,2,1,5,411,17,4,3,39,0,0,7,2,1,7,0,0,3,2,0,0,2
"Lorr37",3326,0,11,2,2,341,26,6,4,54,0,2,0,2,1,11,0,3,2,3,0,1,1
"Lorr38",3523,1,11,0,1,290,15,3,16,43,0,1,0,2,3,7,0,1,1,3,2,0,0
"Lorr39",3725,0,10,2,1,319,12,3,9,66,0,0,1,1,3,11,0,2,0,2,0,0,2
"Lorr40",3925,0,0,0,5,342,7,4,2,34,0,0,1,1,1,6,0,1,2,3,0,0,1
"Lorr41",4123,2,4,2,0,317,5,5,2,37,0,2,2,1,4,7,0,2,4,2,0,0,0
"Lorr42",4323,1,15,1,1,367,6,5,5,62,0,0,3,4,6,31,0,6,4,3,1,2,3
"Lorr43",4523,0,8,1,1,373,8,6,3,55,0,1,2,1,2,32,0,7,4,3,4,1,1
"Lorr44",4724,2,11,5,2,322,5,3,10,42,0,1,2,0,3,21,1,3,2,3,2,1,3
"Lorr45",4926,0,27,0,2,335,4,7,6,35,1,2,0,3,6,21,2,5,3,2,1,1,2
"Lorr46",5127,1,11,0,2,390,3,6,2,19,0,1,0,3,5,22,0,2,3,1,0,1,1
"Lorr47",5177,2,10,1,7,370,7,5,11,36,0,0,0,0,5,13,0,3,2,2,1,2,1
"Lorr48",5228,1,11,1,3,364,5,5,8,27,0,0,2,4,8,26,0,3,3,4,0,1,9
"Lorr49",5279,2,23,1,2,376,5,12,8,45,0,1,3,3,8,43,2,4,5,5,2,1,4
"Lorr50",5329,0,12,0,0,414,6,16,7,42,1,4,1,2,13,34,0,6,6,7,0,0,0
"Lorr51",5380,0,17,5,2,387,10,7,11,42,0,1,0,7,7,46,1,6,5,6,2,4,2
"Lorr52",5429,1,1,2,2,364,5,2,4,21,0,0,0,2,0,24,1,3,2,4,0,1,2
"Lorr53",5479,0,33,2,2,383,11,4,11,32,0,1,0,7,6,18,1,8,8,0,2,1,2
"Lorr54",5528,0,5,1,4,404,20,7,4,22,0,0,2,3,2,16,0,3,4,1,1,2,2
"Lorr55",5578,0,12,2,1,366,35,0,8,22,0,0,2,2,5,19,1,8,2,3,0,0,0
"Lorr56",5652,1,15,0,1,360,24,4,8,38,1,1,0,3,5,20,0,11,3,4,1,1,4
"Lorr57",5802,1,22,0,2,388,14,2,4,19,1,1,1,3,5,30,1,6,5,1,0,2,2
"Lorr58",6105,1,11,1,1,389,7,16,9,30,0,0,1,3,5,29,0,7,3,7,2,3,2
"Lorr59",6416,0,11,0,3,331,17,4,0,20,0,0,1,2,6,24,0,7,5,3,1,0,0
"Lorr60",6723,0,14,0,0,370,14,6,2,26,2,1,1,9,7,30,1,11,4,3,1,0,3
"Lorr61",7030,0,15,1,3,455,7,7,10,24,1,0,0,3,5,21,1,7,3,6,1,4,2
"Lorr62",7335,0,11,1,1,363,6,3,7,25,1,3,0,4,7,45,1,14,3,4,2,1,1
"Lorr63",7637,1,4,0,3,331,1,3,4,23,0,1,0,0,8,28,0,3,4,4,2,1,3
"Lorr64",7953,3,10,1,3,335,0,0,6,25,1,0,1,5,9,13,0,8,4,2,0,2,3
"Lorr65",8327,1,3,2,10,391,0,1,2,24,2,0,0,2,6,17,1,10,2,2,0,5,3
"Lorr66",8962,4,2,3,24,373,0,2,2,36,2,0,0,4,4,20,1,4,2,0,1,3,4
"Lorr67",9606,3,1,6,33,427,0,3,2,8,3,1,0,4,9,35,0,20,1,3,1,1,3
"Lorr68",10238,0,10,6,20,389,0,0,0,11,0,0,0,2,8,22,1,9,1,9,0,2,0
"Lorr69",10857,0,27,9,100,300,0,3,0,10,3,0,0,14,10,48,0,22,3,18,3,1,5
"Lorr70",11460,0,7,1,136,185,0,2,3,16,2,0,0,3,6,59,0,10,2,24,2,2,1
"Pene1",-35,5,3,0,6,52,42,19,17,127,0,2,0,6,3,21,1,2,18,1,0,2,2
"Pene2",3,5,11,0,5,56,29,26,12,111,2,4,0,5,5,29,0,13,15,0,0,2,7
"Pene3",49,1,4,0,7,45,30,19,21,149,0,3,0,0,0,14,3,4,16,5,0,4,4
"Pene4",76,1,0,0,1,37,43,11,9,186,0,1,0,2,0,14,0,5,25,0,1,0,0
"Pene5",93,3,1,2,5,87,29,12,6,161,0,1,0,1,0,5,2,1,6,3,2,1,0
"Pene6",126,6,4,0,3,89,35,19,11,134,0,5,0,3,2,18,3,10,5,1,1,0,0
"Pene7",305,2,0,0,2,86,52,17,9,115,0,3,0,5,3,9,0,15,1,5,0,0,1
"Pene8",722,1,5,0,1,96,57,24,6,116,0,1,0,4,2,14,2,6,1,3,0,0,0
