ID2,Long,Lat,x-error (m),y-error (m),avg-error (m),,
147,-88.184,42.351,41.13,55.66,48.395,,
148,-91.66,47.472,37.62,55.66,46.64,,
149,-80.775,34.167,46.05,55.66,50.855,,
150,-57.3,51.517,34.64,55.66,45.15,,
151,-71.117,41.967,41.38,55.66,48.52,,
152,-85.383,42.4,41.1,55.66,48.38,,
153,-93.567,45,39.36,55.66,47.51,,
154,-85.661,46.429,38.36,55.66,47.01,,
155,-90.079,45.335,39.13,55.66,47.395,,
156,-87.95,46.75,381.36,556.59,468.975,,
157,-138.4,64.633,23.84,55.66,39.75,,
158,-89.188,38.904,43.31,55.66,49.485,,
159,-95.808,34.406,45.92,55.66,50.79,,
160,-63.025,46.25,38.49,55.66,47.075,,
161,-93.164,44.822,39.48,55.66,47.57,,
162,-76.129,54.147,32.6,55.66,44.13,,
163,-70.358,54.356,32.43,55.66,44.045,,
164,-79.072,37.996,43.86,55.66,49.76,,
165,-70.616,47.61,37.52,55.66,46.59,,
166,-78.917,46.4,38.38,55.66,47.02,,
167,-80.413,43.237,40.55,55.66,48.105,,
168,-79.45,45.217,39.21,55.66,47.435,,
169,-90.583,36.6,44.68,55.66,50.17,,
170,-95.284,46.212,38.52,55.66,47.09,,
171,-69.41,43.921,40.09,55.66,47.875,,
172,-95.307,46.184,38.53,55.66,47.095,,
173,-120.881,45.918,38.72,55.66,47.19,,
174,-110.261,44.299,39.84,55.66,47.75,,
175,-69.317,44.983,39.37,55.66,47.515,,
176,-70.35,44.033,40.02,55.66,47.84,,
177,-70.35,43.967,40.06,55.66,47.86,,
178,-68.2,45.033,39.33,55.66,47.495,,
179,-114.15,59.25,284.58,556.59,420.585,,
180,-118.7,62.05,260.87,556.59,408.73,,
181,-126.117,65.217,23.33,55.66,39.495,,
182,-120.667,57.45,29.95,55.66,42.805,,
183,-119.717,56.717,30.54,55.66,43.1,,
184,-114.6,50.767,35.2,55.66,45.43,,
185,-122.167,59.517,28.23,55.66,41.945,,
186,-78.954,33.799,46.25,55.66,50.955,,
187,-91.5,42.986,40.72,55.66,48.19,,
188,-112.1,57.767,29.69,55.66,42.675,,
189,-107.011,44.294,39.84,55.66,47.75,,
190,-80.698,46.828,38.08,55.66,46.87,,
191,-84.258,47.308,37.74,55.66,46.7,,
192,-77.175,44.85,39.46,55.66,47.56,,
193,-107.466,44.5,39.7,55.66,47.68,,
194,-99.906,44.836,39.47,55.66,47.565,,
195,-76.378,57.117,30.22,55.66,42.94,,
196,-75.245,58.578,29.02,55.66,42.34,,
197,-74.583,49.683,36.01,55.66,45.835,,
198,-81.332,27.234,49.49,55.66,52.575,,
199,-83.195,30.642,47.89,55.66,51.775,,
200,-64.94,48.198,37.1,55.66,46.38,,
201,-65.95,48.967,36.54,55.66,46.1,,
202,-66.125,48.911,36.58,55.66,46.12,,
203,-71.717,58.867,28.78,55.66,42.22,,
204,-65.839,48.238,37.07,55.66,46.365,,
205,-72.067,58.233,29.3,55.66,42.48,,
206,-72,48.5,3688.05,5565.85,4626.95,,
207,-155.033,67.683,21.14,55.66,38.4,,
208,-146.483,68.333,20.55,55.66,38.105,,
209,-156.033,68.133,20.73,55.66,38.195,,
210,-155.033,66.917,21.82,55.66,38.74,,
211,-156.45,66.967,21.78,55.66,38.72,,
212,-153.9,67.133,21.63,55.66,38.645,,
213,-155.05,67.933,20.91,55.66,38.285,,
214,-153.65,67.147,21.62,55.66,38.64,,
215,-154.233,67.067,21.69,55.66,38.675,,
216,-147.85,67.433,21.36,55.66,38.51,,
217,-145.217,68.267,20.61,55.66,38.135,,
218,-157.217,66.767,21.96,55.66,38.81,,
219,-143.15,66.583,22.12,55.66,38.89,,
220,-142.067,67.2,21.57,55.66,38.615,,
221,-152.6,67.25,215.24,556.59,385.915,,
222,-151.267,64.333,24.11,55.66,39.885,,
223,-151.083,63.483,24.85,55.66,40.255,,
224,-145.7,63.067,25.21,55.66,40.435,,
225,-110.6,44.956,39.39,55.66,47.525,,
226,-110.567,64.117,24.3,55.66,39.98,,
227,-110.583,64.133,24.28,55.66,39.97,,
228,-119.483,56.767,30.5,55.66,43.08,,
229,-83.254,30.622,47.9,55.66,51.78,,
230,-84.249,30.522,47.95,55.66,51.805,,
231,-75.25,58.583,29.01,55.66,42.335,,
232,-75.25,55.092,31.85,55.66,43.755,,
233,-75.017,55.833,31.26,55.66,43.46,,
234,-75.067,55.413,31.59,55.66,43.625,,
235,-75.7,55.067,31.87,55.66,43.765,,
236,-74.933,55.25,31.73,55.66,43.695,,
237,-75.95,55.117,31.83,55.66,43.745,,
238,-76.39,57.113,30.22,55.66,42.94,,
239,-76.378,57.117,30.22,55.66,42.94,,
240,-76.405,57.123,30.21,55.66,42.935,,
241,-76.415,57.123,30.21,55.66,42.935,,
242,-76.408,57.125,30.21,55.66,42.935,,
243,-73.517,55,31.92,55.66,43.79,,
244,-73.562,55,31.92,55.66,43.79,,
245,-73.542,55.002,31.92,55.66,43.79,,
246,-73.517,55.003,31.92,55.66,43.79,,
247,-73.55,55,319.24,556.59,437.915,,
248,-73.558,55.002,31.92,55.66,43.79,,
249,-73.545,55.003,31.92,55.66,43.79,,
250,-66.767,54.767,32.11,55.66,43.885,,
251,-66.767,54.767,32.11,55.66,43.885,,
252,-66.767,54.767,32.11,55.66,43.885,,
253,-74.945,56.023,31.11,55.66,43.385,,
254,-74.975,56.02,31.11,55.66,43.385,,
255,-75.25,55.117,31.83,55.66,43.745,,
256,-66.8,54.8,3208.34,5565.85,4387.095,,
257,-66.8,54.8,3208.34,5565.85,4387.095,,
258,-66.8,54.8,3208.34,5565.85,4387.095,,
259,-74.583,55.625,31.43,55.66,43.545,,
260,-74.6,55.617,31.43,55.66,43.545,,
261,-75.255,58.585,29.01,55.66,42.335,,
262,-74.913,59.14,28.55,55.66,42.105,,
263,-74.95,59.158,28.53,55.66,42.095,,
264,-66.733,54.767,32.11,55.66,43.885,,
265,-74.9,56.943,30.36,55.66,43.01,,
266,-77.717,55.283,31.7,55.66,43.68,,
267,-77.718,55.287,31.7,55.66,43.68,,
268,-77.703,55.292,31.69,55.66,43.675,,
269,-77.7,55.292,31.69,55.66,43.675,,
270,-77.7,55.295,31.69,55.66,43.675,,
271,-66.75,54.767,32.11,55.66,43.885,,
272,-76.305,57.758,29.69,55.66,42.675,,
273,-76.11,57.725,29.72,55.66,42.69,,
274,-117.217,52.242,34.08,55.66,44.87,,
275,-71.575,41.158,41.91,55.66,48.785,,
276,-75.617,57.917,29.56,55.66,42.61,,
277,-93.734,44.296,39.84,55.66,47.75,,
278,-93.5,44.706,39.56,55.66,47.61,,
279,-93.62,44.471,39.72,55.66,47.69,,
280,-93.341,44.711,39.55,55.66,47.605,,
281,-93.433,44.627,39.61,55.66,47.635,,
282,-93.1,44.875,39.44,55.66,47.55,,
283,-113.65,48.8,366.62,556.59,461.605,,
284,-113.567,48.833,36.64,55.66,46.15,,
285,-113.45,48.85,366.25,556.59,461.42,,
286,-113.367,48.833,36.64,55.66,46.15,,
287,-113.3,48.85,366.25,556.59,461.42,,
288,-113.25,48.85,366.25,556.59,461.42,,
289,-113.167,48.767,36.69,55.66,46.175,,
290,-113.117,48.717,36.72,55.66,46.19,,
291,-113.117,48.55,36.84,55.66,46.25,,
292,-113.017,48.617,36.8,55.66,46.23,,
293,-112.967,48.533,36.86,55.66,46.26,,
294,-112.75,48.583,36.82,55.66,46.24,,
295,-112.183,48.733,36.71,55.66,46.185,,
296,-111.917,48.75,36.7,55.66,46.18,,
297,-111.7,48.75,366.98,556.59,461.785,,
298,-111.417,48.75,36.7,55.66,46.18,,
299,-111.267,48.883,36.6,55.66,46.13,,
300,-111.117,48.917,36.58,55.66,46.12,,
301,-111.033,48.883,36.6,55.66,46.13,,
302,-110.983,48.95,36.55,55.66,46.105,,
303,-110.883,48.883,36.6,55.66,46.13,,
304,-110.5,48.883,36.6,55.66,46.13,,
305,-110.117,48.8,36.66,55.66,46.16,,
306,-109.867,48.9,36.59,55.66,46.125,,
307,-109.617,48.75,36.7,55.66,46.18,,
308,-108.95,48.867,36.61,55.66,46.135,,
309,-108.667,48.867,36.61,55.66,46.135,,
310,-108.467,48.867,36.61,55.66,46.135,,
311,-108.133,48.917,36.58,55.66,46.12,,
312,-107.783,48.833,36.64,55.66,46.15,,
313,-107.583,48.75,36.7,55.66,46.18,,
314,-107.283,48.733,36.71,55.66,46.185,,
315,-107.083,48.8,36.66,55.66,46.16,,
316,-106.8,48.883,36.6,55.66,46.13,,
317,-106.533,48.883,36.6,55.66,46.13,,
318,-106.233,48.867,36.61,55.66,46.135,,
319,-103.167,47.8,37.39,55.66,46.525,,
320,-102.7,47.967,37.27,55.66,46.465,,
321,-102.033,47.967,37.27,55.66,46.465,,
322,-101.733,47.967,37.27,55.66,46.465,,
323,-101.217,47.967,37.27,55.66,46.465,,
324,-127.5,66.167,22.49,55.66,39.075,,
325,-126.167,65.833,22.79,55.66,39.225,,
326,-128.167,65.75,22.86,55.66,39.26,,
327,-123.5,64.833,23.67,55.66,39.665,,
328,-122.7,64.417,24.03,55.66,39.845,,
329,-123.5,64.4,2404.93,5565.85,3985.39,,
330,-122.233,62.333,25.84,55.66,40.75,,
331,-120.433,63.817,24.56,55.66,40.11,,
332,-122.617,63.883,24.5,55.66,40.08,,
333,-122.967,62.75,25.48,55.66,40.57,,
334,-122.967,63.217,25.08,55.66,40.37,,
335,-122.733,63.617,24.73,55.66,40.195,,
336,-121.05,62.167,25.99,55.66,40.825,,
337,-114.35,62.433,25.76,55.66,40.71,,
338,-120.05,61.2,268.14,556.59,412.365,,
339,-116.2,60.583,27.34,55.66,41.5,,
340,-116.75,55.633,31.42,55.66,43.54,,
341,-114.667,55.25,31.73,55.66,43.695,,
342,-113.667,55.083,31.86,55.66,43.76,,
343,-112.75,54.5,323.21,556.59,439.9,,
344,-111.167,54.333,32.45,55.66,44.055,,
345,-114.833,51.8,34.42,55.66,45.04,,
346,-117.767,53.267,33.29,55.66,44.475,,
347,-117.133,53.583,33.04,55.66,44.35,,
348,-116.1,53.6,3302.88,5565.85,4434.365,,
349,-116.833,54.45,32.36,55.66,44.01,,
350,-117.5,55.083,31.86,55.66,43.76,,
351,-115.667,54.467,32.35,55.66,44.005,,
352,-117.5,57.5,2990.53,5565.85,4278.19,,
353,-111.333,53.933,32.77,55.66,44.215,,
354,-114.167,53.55,33.07,55.66,44.365,,
355,-117.9,52.7,3372.84,5565.85,4469.345,,
356,-116.167,52.45,33.92,55.66,44.79,,
357,-116.417,51.667,34.52,55.66,45.09,,
358,-115.333,51.25,34.84,55.66,45.25,,
359,-114.25,49.567,36.1,55.66,45.88,,
360,-110.717,52.083,34.2,55.66,44.93,,
361,-110.4,51.45,346.86,556.59,451.725,,
362,-112.167,51.367,34.75,55.66,45.205,,
363,-111.083,49.917,35.84,55.66,45.75,,
364,-112.417,49.8,35.93,55.66,45.795,,
365,-114.167,51.167,34.9,55.66,45.28,,
366,-70.208,41.283,41.83,55.66,48.745,,
367,-93.35,43.15,406.07,556.59,481.33,,
368,-119.008,37.596,44.1,55.66,49.88,,
369,-119.068,37.663,44.06,55.66,49.86,,
370,-109.517,42.317,41.16,55.66,48.41,,
371,-109.033,42.3,41.17,55.66,48.415,,
372,-108.867,42.45,41.07,55.66,48.365,,
373,-108.717,42.55,41,55.66,48.33,,
374,-108.5,42.95,407.39,556.59,481.99,,
375,-108.117,43.367,40.46,55.66,48.06,,
376,-108.183,43.467,40.4,55.66,48.03,,
377,-108.117,43.8,40.17,55.66,47.915,,
378,-107.533,44.017,40.03,55.66,47.845,,
379,-107.25,44.167,39.92,55.66,47.79,,
380,-107.133,44.167,39.92,55.66,47.79,,
381,-106.933,44.317,39.82,55.66,47.74,,
382,-106.733,44.333,39.81,55.66,47.735,,
383,-105.533,44.283,39.85,55.66,47.755,,
384,-105.167,44.267,39.86,55.66,47.76,,
385,-104.917,44.3,39.83,55.66,47.745,,
386,-104.183,44.533,39.68,55.66,47.67,,
387,-103.717,44.333,39.81,55.66,47.735,,
388,-103.417,44.417,39.75,55.66,47.705,,
389,-102.85,44.517,39.69,55.66,47.675,,
390,-102.45,44.583,39.64,55.66,47.65,,
391,-102.067,44.667,39.58,55.66,47.62,,
392,-102,45.033,39.33,55.66,47.495,,
393,-102,45.033,39.33,55.66,47.495,,
394,-101.2,45,3935.65,5565.85,4750.75,,
395,-100.35,45.067,39.31,55.66,47.485,,
396,-99.333,45.033,39.33,55.66,47.495,,
397,-98.75,44.9,394.25,556.59,475.42,,
398,-98.75,44.9,394.25,556.59,475.42,,
399,-97.467,44.883,39.44,55.66,47.55,,
400,-119.258,37.908,43.91,55.66,49.785,,
401,-94.5572,44.8031,3.95,5.57,4.76,,
402,-93.688,45.425,39.06,55.66,47.36,,
403,-93.704,46.128,38.57,55.66,47.115,,
404,-95.167,47.183,37.83,55.66,46.745,,
405,-94.917,47.183,37.83,55.66,46.745,,
406,-96.017,45.761,38.83,55.66,47.245,,
407,-95.733,47.183,37.83,55.66,46.745,,
408,-95.915,46.174,38.54,55.66,47.1,,
409,-93.508,45.333,39.13,55.66,47.395,,
410,-94.753,46.219,38.51,55.66,47.085,,
411,-95.558,47.165,37.84,55.66,46.75,,
412,-92.467,46.583,38.25,55.66,46.955,,
413,-95.75,47.2,378.17,556.59,467.38,,
414,-95.783,47.217,37.8,55.66,46.73,,
415,-95.872,47.19,37.82,55.66,46.74,,
416,-93.983,45.429,39.06,55.66,47.36,,
417,-93.117,44.758,39.52,55.66,47.59,,
418,-92.87,46.353,38.42,55.66,47.04,,
419,-93.613,44.45,39.73,55.66,47.695,,
420,-93.694,44.45,39.73,55.66,47.695,,
421,-93.103,46.086,38.6,55.66,47.13,,
422,-93.364,45.749,38.84,55.66,47.25,,
423,-95.698,47.178,37.83,55.66,46.745,,
424,-93.68,46.068,38.62,55.66,47.14,,
425,-93.273,45.781,38.82,55.66,47.24,,
426,-93.733,45.133,39.27,55.66,47.465,,
427,-95.775,47.188,37.83,55.66,46.745,,
428,-96.167,47.6,37.53,55.66,46.595,,
429,-95.833,47.209,37.81,55.66,46.735,,
430,-94.2,44.9,3942.52,5565.85,4754.185,,
431,-96.25,46.662,38.2,55.66,46.93,,
432,-93.467,45.725,38.86,55.66,47.26,,
433,-93.408,45.572,38.96,55.66,47.31,,
434,-93.522,45.4,39.08,55.66,47.37,,
435,-93.981,45.41,39.07,55.66,47.365,,
436,-93.168,45.849,38.77,55.66,47.215,,
437,-99.233,47.15,37.85,55.66,46.755,,
438,-94.113,47.081,37.9,55.66,46.78,,
439,-79.48,43.64,402.8,556.59,479.695,,
440,-79.49,43.64,402.8,556.59,479.695,,
441,-79.5,43.65,402.73,556.59,479.66,,
442,-95.008,47.244,37.79,55.66,46.725,,
443,-95.008,47.244,37.79,55.66,46.725,,
444,-95.575,46.922,38.01,55.66,46.835,,
445,-95.575,46.922,38.01,55.66,46.835,,
446,-93.783,46.133,38.57,55.66,47.115,,
447,-104,50.78,351.93,556.59,454.26,,
448,-93.831,44.227,39.88,55.66,47.77,,
449,-93.567,44.589,39.64,55.66,47.65,,
450,-77.433,45.033,39.33,55.66,47.495,,
451,-89.324,48.422,36.94,55.66,46.3,,
452,-77.917,44.3,39.83,55.66,47.745,,
453,-88.74,48.56,368.37,556.59,462.48,,
454,-59.367,47.862,37.34,55.66,46.5,,
455,-80.117,47,37.96,55.66,46.81,,
456,-79.98,44.85,394.59,556.59,475.59,,
457,-76.9,43.51,403.67,556.59,480.13,,
458,-79.47,43.64,402.8,556.59,479.695,,
459,-78.15,43.557,40.34,55.66,48,,
460,-94.25,51.383,34.74,55.66,45.2,,
461,-127.05,65.217,23.33,55.66,39.495,,
462,-127.75,65.517,23.07,55.66,39.365,,
463,-128.567,65.683,22.92,55.66,39.29,,
464,-97.117,30.367,48.02,55.66,51.84,,
465,-107.26,44.179,39.92,55.66,47.79,,
466,-70.058,41.275,41.83,55.66,48.745,,
467,-70.058,41.275,41.83,55.66,48.745,,
468,-70.133,41.25,41.85,55.66,48.755,,
469,-70.183,41.258,41.84,55.66,48.75,,
470,-69.983,41.275,41.83,55.66,48.745,,
471,-70.167,41.258,41.84,55.66,48.75,,
472,-70.133,41.275,41.83,55.66,48.745,,
473,-70.017,41.283,41.83,55.66,48.745,,
474,-70.017,41.283,41.83,55.66,48.745,,
475,-70.05,41.275,41.83,55.66,48.745,,
476,-70.008,41.283,41.83,55.66,48.745,,
477,-70.017,41.275,41.83,55.66,48.745,,
478,-70.017,41.308,41.81,55.66,48.735,,
479,-70.008,41.292,41.82,55.66,48.74,,
480,-70.008,41.308,41.81,55.66,48.735,,
481,-94.967,47.558,37.56,55.66,46.61,,
482,-94.75,46.867,38.05,55.66,46.855,,
483,-95.317,46.967,37.98,55.66,46.82,,
484,-94.95,46.95,379.95,556.59,468.27,,
485,-94.133,46.55,38.28,55.66,46.97,,
486,-72.983,45.283,39.16,55.66,47.41,,
487,-73.993,45.996,38.67,55.66,47.165,,
488,-122.547,49.308,36.29,55.66,45.975,,
489,-121.5,50.35,355.16,556.59,455.875,,
490,-112.717,48.55,36.84,55.66,46.25,,
491,-122.25,46.592,38.25,55.66,46.955,,
492,-55.506,48.936,36.56,55.66,46.11,,
493,-56.196,50.034,35.75,55.66,45.705,,
494,-52.714,47.59,37.54,55.66,46.6,,
495,-55.473,49.471,36.17,55.66,45.915,,
496,-122.492,45.8,38.8,55.66,47.23,,
497,-110.6,44.65,395.96,556.59,476.275,,
498,-110.233,43.933,40.08,55.66,47.87,,
499,-110.3,44.067,39.99,55.66,47.825,,
500,-110.6,43.75,402.06,556.59,479.325,,
501,-110.317,43.767,40.19,55.66,47.925,,
502,-110.233,44.15,39.94,55.66,47.8,,
503,-110.35,44.933,39.4,55.66,47.53,,
504,-117.858,33.658,46.33,55.66,50.995,,
505,-98.667,38.467,43.58,55.66,49.62,,
506,-84.187,35.621,45.24,55.66,50.45,,
507,-84.211,35.585,45.26,55.66,50.46,,
508,-105.5,37.55,441.27,556.59,498.93,,
509,-112,34,11535.76,13914.64,12725.2,,
510,-119.833,37,44.45,55.66,50.055,,
511,-111.183,44.125,39.95,55.66,47.805,,
512,-110.733,44.917,39.41,55.66,47.535,,
513,-102.3,49.817,35.91,55.66,45.785,,
514,-93.183,45.425,39.06,55.66,47.36,,
515,-93.197,45.411,39.07,55.66,47.365,,
516,-85.04,46.7,381.72,556.59,469.155,,
517,-92.158,48.233,37.07,55.66,46.365,,
518,-91.9,48.033,37.22,55.66,46.44,,
519,-91.642,47.708,37.45,55.66,46.555,,
520,-89.483,45.783,38.82,55.66,47.24,,
521,-89.317,45.85,38.77,55.66,47.215,,
522,-89.625,45.933,38.71,55.66,47.185,,
523,-89.375,45.986,38.67,55.66,47.165,,
524,-84.958,46.427,38.36,55.66,47.01,,
525,-84.958,46.427,38.36,55.66,47.01,,
526,-84.958,46.427,38.36,55.66,47.01,,
527,-83.01,39.354,43.04,55.66,49.35,,
528,-83.533,40.1,42.57,55.66,49.115,,
529,-84.75,41.417,41.74,55.66,48.7,,
530,-81.333,41.199,41.88,55.66,48.77,,
531,-82.938,39.668,42.84,55.66,49.25,,
532,-82.933,40.797,42.14,55.66,48.9,,
533,-90.933,47.958,37.27,55.66,46.465,,
534,-71.317,44.267,39.86,55.66,47.76,,
535,-71.317,44.267,39.86,55.66,47.76,,
536,-71.317,44.267,39.86,55.66,47.76,,
537,-79.344,39.045,43.23,55.66,49.445,,
538,-79.6,39.1,4319.36,5565.85,4942.605,,
539,-79.383,39.126,43.18,55.66,49.42,,
540,-79.4177,39.4943,4.3,5.57,4.935,,
541,-93.633,45.033,39.33,55.66,47.495,,
542,-93.633,45.033,39.33,55.66,47.495,,
543,-93.633,45.033,39.33,55.66,47.495,,
544,-93.633,45.033,39.33,55.66,47.495,,
545,-93.633,45.033,39.33,55.66,47.495,,
546,-93.633,45.033,39.33,55.66,47.495,,
547,-93.633,45.033,39.33,55.66,47.495,,
548,-93.633,45.033,39.33,55.66,47.495,,
549,-93.633,45.033,39.33,55.66,47.495,,
550,-93.633,45.033,39.33,55.66,47.495,,
551,-93.55,44.967,39.38,55.66,47.52,,
552,-77.34,46.03,386.43,556.59,471.51,,
553,-55.53,51.6,345.72,556.59,451.155,,
554,-79.44,44.18,399.16,556.59,477.875,,
555,-126.417,65.233,23.32,55.66,39.49,,
